customer_id,first_name,last_name,age,gender,email,phone_number,signup_date,loyalty_tier,city,state,country,acquisition_channel,marketing_opt_in
103940,Fatima,Wright,78,Non-binary,fatima.wright916@icloud.com,(897) 760-5323,2025-10-27,Silver,New York,NY,USA,Organic Search,True
104400,Ashley,Singh,58,Female,ashley.singh115@hotmail.com,(776) 731-4405,2024-09-25,Bronze,Dallas,TX,USA,Referral,True
104773,Timothy,Jackson,30,Male,timothy.jackson493@outlook.com,(241) 365-7254,2025-10-08,Gold,New York,NY,USA,Affiliate,True
104886,Anthony,Nguyen,37,Male,anthony.nguyen434@gmail.com,(592) 201-6706,2024-07-29,Silver,San Diego,CA,USA,Organic Search,True
104925,Sarah,Torres,78,Female,sarah.torres727@gmail.com,(942) 288-5636,2024-11-18,Bronze,Los Angeles,CA,USA,Email Campaign,False
105856,Charles,Garcia,41,Male,charles.garcia500@yahoo.com,(244) 213-3288,2024-02-11,Silver,Toronto,ON,Canada,Organic Search,True
106365,William,Miller,51,Male,william.miller392@outlook.com,(777) 734-1846,2024-12-05,Silver,San Antonio,TX,USA,Organic Search,True
106619,Rebecca,Garcia,44,Female,rebecca.garcia591@gmail.com,(502) 379-3717,2025-04-03,Bronze,Atlanta,GA,USA,Paid Social,False
107065,Edward,Robinson,33,Male,edward.robinson950@gmail.com,(916) 766-4902,2024-07-27,Bronze,Philadelphia,PA,USA,Paid Social,True
108917,Mateo,Green,78,Male,mateo.green476@yahoo.com,(743) 522-5493,2024-07-16,Platinum,Atlanta,GA,USA,Organic Search,True
110880,Sarah,Nelson,39,Female,sarah.nelson756@outlook.com,,2024-10-07,Gold,Toronto,ON,Canada,Affiliate,False
111069,Raj,Martin,72,Male,raj.martin945@yahoo.com,(842) 314-8584,2025-01-29,Bronze,Detroit,MI,USA,Email Campaign,True
112534,Olivia,Martin,69,Female,olivia.martin456@yahoo.com,(285) 748-8370,2023-07-16,Gold,Miami,FL,USA,Direct,True
113112,David,Harris,27,Male,david.harris956@gmail.com,(425) 646-2635,2025-05-19,Platinum,Toronto,ON,Canada,Organic Search,True
114172,Melissa,Lopez,49,Female,melissa.lopez855@outlook.com,(401) 996-3941,2025-02-16,Silver,Philadelphia,PA,USA,Email Campaign,True
116043,Kimberly,Walker,54,Female,kimberly.walker380@hotmail.com,(982) 798-1484,2025-10-30,Bronze,Houston,TX,USA,Referral,True
116154,Carlos,Lewis,58,Male,carlos.lewis714@outlook.com,(389) 753-2103,2024-05-31,Bronze,Portland,OR,USA,Influencer,False
117556,Fatima,Miller,41,Female,fatima.miller385@icloud.com,(796) 400-5528,2025-07-01,Bronze,Berlin,Berlin,Germany,Email Campaign,False
119023,Michelle,Baker,40,Female,michelle.baker591@yahoo.com,(458) 831-3618,2025-05-10,Bronze,Chicago,IL,USA,Email Campaign,True
119435,Mei,Singh,45,Female,mei.singh787@gmail.com,(966) 693-8487,2024-06-01,Bronze,Phoenix,AZ,USA,Direct,False
119888,Mark,Young,42,Male,mark.young145@outlook.com,,2024-12-05,Silver,Phoenix,AZ,USA,Paid Social,False
120421,Sarah,Roberts,37,Female,sarah.roberts998@hotmail.com,(252) 859-4101,2025-06-02,Gold,Austin,TX,USA,Organic Search,True
120506,Gary,Lopez,56,Male,gary.lopez654@gmail.com,(951) 516-8813,2023-07-15,Gold,Los Angeles,CA,USA,Paid Social,False
121565,Michael,Torres,,Male,michael.torres211@outlook.com,(440) 831-4818,2025-06-19,Platinum,Las Vegas,NV,USA,Paid Social,True
122359,Thomas,Hernandez,49,Male,thomas.hernandez48@yahoo.com,(773) 691-7423,2024-02-20,Gold,Houston,TX,USA,Email Campaign,True
122576,Chen,Jones,23,Female,chen.jones404@icloud.com,(638) 975-1040,2025-05-19,Silver,Atlanta,GA,USA,Affiliate,True
126094,Emma,Anderson,40,Female,emma.anderson74@outlook.com,(328) 839-3163,2025-04-24,Bronze,Dallas,TX,USA,Paid Social,True
127709,Ashley,Hall,66,Female,ashley.hall786@hotmail.com,(201) 648-4192,2025-09-06,Silver,Houston,TX,USA,Referral,True
128700,Kenneth,Garcia,51,Male,kenneth.garcia673@hotmail.com,(845) 944-5997,2024-09-17,Platinum,Detroit,MI,USA,Email Campaign,False
129133,Michelle,Clark,43,Female,michelle.clark206@yahoo.com,(829) 200-4196,2024-11-19,Gold,New York,NY,USA,Paid Social,True
131194,Melissa,Torres,63,Female,melissa.torres454@yahoo.com,(296) 411-7342,2025-07-26,Silver,San Francisco,CA,USA,Paid Social,True
131620,Joseph,Lee,37,Male,joseph.lee753@gmail.com,,2024-05-14,Silver,Detroit,MI,USA,Paid Social,False
132452,Raj,Wright,37,Male,raj.wright263@outlook.com,(897) 450-6485,2024-03-20,Bronze,Atlanta,GA,USA,Organic Search,True
132540,Jason,Perez,39,Male,jason.perez660@yahoo.com,(929) 995-4600,2023-09-12,Silver,New York,NY,USA,Direct,True
133503,Jacob,Lewis,64,Male,jacob.lewis13@gmail.com,,2024-09-03,Bronze,New York,NY,USA,Organic Search,True
133646,Paul,Moore,,Male,paul.moore890@icloud.com,(811) 838-4989,2025-06-22,Silver,San Francisco,CA,USA,Organic Search,False
136130,Kenneth,Jackson,53,Male,kenneth.jackson965@gmail.com,(325) 933-4892,2024-06-10,Gold,Miami,FL,USA,Paid Social,False
137421,Jason,Patel,78,Male,jason.patel623@yahoo.com,(611) 416-8146,2025-10-05,Silver,Miami,FL,USA,Organic Search,True
138111,David,Perez,46,Male,david.perez236@gmail.com,(978) 409-1465,2023-12-30,Bronze,Los Angeles,CA,USA,Paid Social,False
138889,Kimberly,Lee,,Female,kimberly.lee391@outlook.com,(558) 958-2693,2024-06-09,Gold,Miami,FL,USA,Referral,True
139108,Daniel,Patel,58,Male,daniel.patel21@hotmail.com,(816) 908-6986,2025-06-16,Bronze,San Francisco,CA,USA,Organic Search,True
139381,Anthony,King,72,Male,anthony.king552@hotmail.com,(950) 322-6752,2025-10-02,Bronze,Las Vegas,NV,USA,Influencer,True
139745,Kimberly,Taylor,41,Female,kimberly.taylor171@yahoo.com,(353) 379-7221,2023-07-14,Gold,Columbus,OH,USA,Paid Social,False
140279,Ava,Gonzalez,56,Female,ava.gonzalez6@yahoo.com,(461) 281-3631,2025-03-06,Silver,Los Angeles,CA,USA,Paid Social,True
140390,Brian,Walker,54,Male,brian.walker248@gmail.com,(307) 598-4799,2024-11-05,Silver,Denver,CO,USA,Paid Social,True
144307,Timothy,King,34,Male,timothy.king253@icloud.com,(972) 473-2570,2025-08-02,Bronze,Miami,FL,USA,Direct,True
145116,Daniel,White,42,Male,daniel.white638@outlook.com,(230) 447-3414,2025-05-05,Bronze,Manchester,England,UK,Organic Search,True
